Season,Episode,Month,Day,Year,Title,Directed By,Written By,Duration,Summary,U.S. Viewers,Rating
3,21,4,17,1997,The One with a Chick and a Duck,Michael Lembeck,Chris Brown,22.0,"Joey buys a chick for him and Chandler, Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her.",23200000.0,0.5714285714285714
3,22,4,24,1997,The One with the Screamer,Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,22.0,"Ross witnesses Rachel's date screaming at people. Meanwhile, Joey becomes upset when Kate is offered a job in Los Angeles; Phoebe refuses to hang up the phone when she is placed on hold by her phone company.",22600000.0,0.5740740740740741
3,23,5,1,1997,The One with Ross's Thing,Shelley Jensen,Ted Cohen & Andrew Reich,22.0,Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys; Monica can't decide what to do about Pete when she thinks he is going to propose.,24200000.0,0.5724137931034483
3,24,5,8,1997,The One with the Ultimate Fighting Champion,Robby Benson,"Story by : Pang-Ni Landrum & Mark Kunerth
Teleplay by : Shana Goldberg-Meehan & Scott Silveri",22.0,Monica struggles to support Pete in his goal to become the Ultimate Fighting Champion. Chandler is uneasy when his boss playfully slaps his butt. Rachel becomes jealous when Ross starts dating a woman that was introduced to him by Phoebe.,23100000.0,0.5777777777777777
3,25,5,15,1997,The One at the Beach,Pamela Fryman,"Story by : Pang-Ni Landrum & Mark Kunerth
Teleplay by : Adam Chase",22.0,"While at the beach, Phoebe meets a family friend with links to her past; Ross discovers that Rachel still loves him and must decide between her and Bonnie.",28800000.0,0.5689655172413793
4,1,9,25,1997,The One with the Jellyfish,Shelley Jensen,Wil Calhoun,22.0,"Ross chooses between Rachel and his bald-headed girlfriend Bonnie; Joey, Chandler, and Monica have a perilous encounter with a jellyfish at the beach.",29400000.0,0.609375
4,2,10,2,1997,The One with the Cat,Shelley Jensen,Jill Condon & Amy Toomin,22.0,Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.,25500000.0,0.5866666666666667
4,3,10,9,1997,The One with the Cuffs,Peter Bonerz,Seth Kurland,22.0,Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encyclopedias.,24000000.0,0.5964285714285714
4,4,10,16,1997,The One with the Ballroom Dancing,Gail Mancuso,Ted Cohen & Andrew Reich,22.0,Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.,24300000.0,0.5857142857142856
4,5,10,30,1997,The One with Joey's New Girlfriend,Gail Mancuso,Gregory S. Malins & Michael Curtis,22.0,Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.,24400000.0,0.6269230769230769
